ID,Consultant,DateRetrieved,DatePublished,Job_title,Company,R,SAS,SPSS,Python,MAtlab,Scala,C.,MS_Word,Ms_Excel,OLE_DB,Ms_Access,Ms_PowerPoint,Spreadsheets,Data_visualization,Presentation_Skills,Communication,BigData,Data_warehouse,cloud_storage,Google_Cloud,AWS,Machine_Learning,Deep_Learning,Computer_vision,Java,C..,C,Linux_Unix,SQL,NoSQL,RDBMS,Oracle,MySQL,PHP,Flash_Actionscript,SPL,web_design_and_development_tools,Wordpress,AI,Natural_Language_Processing.NLP.,Microsoft_Power_BI,Google_Analytics,graphics_and_design_skills,Data_marketing,SEO,Content_Management,Tableau,D3,Alteryx,KNIME,Spotfire,Spark,S3,Redshift,DigitalOcean,Javascript,Kafka,Storm,Bash,Hadoop,Data_Pipelines,MPP_Platforms,Qlik,Pig,Hive,Tensorflow,Map_Reduce,Impala,Solr,Teradata,MongoDB,Elasticsearch,YOLO,agile_execution,Data_management,pyspark,Data_mining,Data_science,Web_Analytic_tools,IOT,Numerical_Analysis,Economic,Finance_Knowledge,Investment_Knowledge,Problem_Solving,Korean_language,Bash_Linux_Scripting,Knowledge_in,Experience,City,Location,Educational_qualifications,Salary,Team_Handling,Debtor_reconcilation,Payroll_management,Bayesian,Optimization,Bahasa_Malaysia,English_proficiency,URL,Search_Term,Job_Titles,Job_Category,Minimum_Years_of_experience,Experience_Category,Job_Country,Edu_Category
1,Thiyanga,05/08/2020,NA,NA,NA,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4+,NA,NY,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,Unimportant,NA,Two or less years,United States,NA
2,Jayani,07/08/2020,31/07/2020,Junior Data Scientist,Dialog Axiata PLC,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2-3,Colombo,LK,Degree in Engineering / IT or specialized in Computer Science / Statistics from a recognized university or institute,NA,0,0,0,0,0,0,NA,https://www.google.com/search?sxsrf=ALeKk00MUun1FouYtWJYm7L0o3wlM5pWbA:1596811359019&source=hp&ei=XmgtX9XyO-G_8QOttrSQAg&q=latest+jobs+for+data+scientist&oq=Latest+Jobs+for+data+scie&gs_lcp=CgZwc3ktYWIQAxgAMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjoHCCMQ6gIQJzoECCMQJzoICAAQkQIQiwM6CAgAELEDEIMBOggILhCxAxCDAToFCAAQsQM6DggAELEDEIMBEJECEIsDOgsIABCxAxCDARCLAzoHCAAQAxCLAzoICC4QsQMQiwM6CAgAELEDEIsDOgUIABCLAzoCCAA6BggAEBYQHjoFCCEQoAFQ4RhY87gBYJ_IAWgCcAB4AIABwgOIAfQwkgEKMC4xNC43LjQuM5gBAKABAaoBB2d3cy13aXqwAQq4AQI&sclient=psy-ab&ibp=htl;jobs&sa=X&ved=2ahUKEwi7iIn-qYnrAhXS7XMBHR2PCx8Qp4wCMAB6BAgLEAE#fpstate=tldetail&htivrt=jobs&htiq=latest+jobs+for+data+scientist&htidocid=G184piKqa2o_fj-gAAAAAA%3D%3D&sxsrf=ALeKk00mvUvmmBGPtIAJqR8AKbUqgn_goA:1596811391427,Data Analysis Jobs in Sri Lanka,junior data scientist,Data Science,2,Two or less years,Sri Lanka,Some Degree
3,Jayani,07/08/2020,06/08/20,"Engineer, Analytics & Data Science",London Stock Exchange Group plc3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Elasticsearch, Logstash, Kibana",1-2,Colombo,LK,Degree in Statistics / Mathematics / Computer Science.,NA,0,0,0,0,0,0,NA,"https://www.glassdoor.com/Job/sri-lanka-statistics-jobs-SRCH_IL.0,9_IN45_KO10,20.htm",Data Analysis Jobs in Sri Lanka,engineer  analytics & data science,Data Science,1,Two or less years,Sri Lanka,Some Degree
4,Jayani,07/08/2020,24/07/2020,CI-Statistical Analyst/Business Analyst-CMB,E.D. Bullard Company,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2+,Colombo,LK,"Undergraduate degree in statistics, mathematics or engineering",NA,0,0,0,0,0,0,NA,"https://www.glassdoor.com/Job/sri-lanka-statistics-jobs-SRCH_IL.0,9_IN45_KO10,20.htm",Data Analysis Jobs in Sri Lanka,ci statistical analyst business analyst cmb,Data Analyst,2,Two or less years,Sri Lanka,Some Degree
5,Jayani,07/08/2020,24/07/2020,DA-Data Analyst-CMB,E.D. Bullard Company,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,Colombo,LK,"Bachelor's in Information Management, Information Technology, Computing, Mathematics, Statistics, or related fields",NA,0,0,0,0,0,0,NA,"https://www.glassdoor.com/Job/sri-lanka-statistics-jobs-SRCH_IL.0,9_IN45_KO10,20.htm",Data Analysis Jobs in Sri Lanka,da data analyst cmb,Data Analyst,NA,Two or less years,Sri Lanka,Min_Bsc
6,Jayani,07/08/2020,13/08/2020,Data Scientist,Emirates Center for Strategic Studies and Research,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,5-7,Kuala Lumpur,Malaysia,"Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field",NA,0,0,0,0,0,0,NA,https://www.glassdoor.com/Job/jobs.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=&locT=N&locId=170&jobType=&context=Jobs&sc.keyword=statistics&dropdown=0,Statistics top jobs in Malaysia,data scientist,Data Science,NA,Two or less years,Malaysia,Min_Master
7,Jayani,13/08/2020,13/08/2020,Principal HR Data Scientist,BHP Group Limited,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,Kuala Lumpur,Malaysia,"ertiary qualification in Human Resources, Information Technology, Computer Science, Mathematics, Statistics or other relevant business / IT degree",NA,0,0,0,0,0,0,1,https://www.glassdoor.com/Job/jobs.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=&locT=N&locId=170&jobType=&context=Jobs&sc.keyword=statistics&dropdown=0,Statistics top jobs in Malaysia,principal hr data scientist,Data Science,NA,Two or less years,Malaysia,Some Degree
8,Jayani,07/08/2020,24/07/2020,DV-Data Visualization & QA Specialist-CMB,E.D. Bullard Company,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,Colombo,LK,NA,NA,0,0,0,0,0,0,NA,"https://www.glassdoor.com/Job/sri-lanka-statistics-jobs-SRCH_IL.0,9_IN45_KO10,20.htm",Data Analysis Jobs in Sri Lanka,dv data visualization & qa specialist cmb,Data Analyst,NA,Two or less years,Sri Lanka,NA
9,Jayani,13/08/2020,13/08/2020,"Product Manager, Product Data Science",Numerator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1+,Ottawa,Canada,NA,NA,0,0,0,0,0,0,NA,https://www.glassdoor.com/Job/jobs.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=Data+sc&locT=N&locId=3&jobType=&context=Jobs&sc.keyword=Data+Science&dropdown=0,Statistics top jobs in Canada,product manager  product data science,Data Science,1,Two or less years,Canada,NA
10,Jayani,12/08/2020,11/08/2020,"Associate Director, Data Science",Phreesia Inc.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7+,Ottawa,Canada,"Bachelor's in Computer Science, Math, Statistics, Economics, or other quantitative field",NA,0,0,0,0,0,0,NA,https://www.glassdoor.com/Job/jobs.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=Data+sc&locT=N&locId=3&jobType=&context=Jobs&sc.keyword=Data+Science&dropdown=0,Statistics top jobs in Canada,associate director  data science,Data Science,NA,Two or less years,Canada,Min_Bsc
