ID,Consultant,URL,Duplicate/Unique,Search_Term,DateRetrieved,DatePublished,Job_Field,Job_title,Company,Knowledge_in,Minimum Experience in Years,City,Location,Educational_qualifications,Payment Frequency,Currency,Salary,English Needed,English proficiency description,Additional_languages,AI,Natural_Language_Processing(NLP),Data_Pipelines,Machine_Learning,Deep Learning,Computer_vision,Data_visualization,Data_warehouse,BigData,Data_management,Data_mining,Data_science,Bayesian,Optimization,Numerical_Analysis,IOT,Data_translation,R,SAS,SPSS,Python,MAtlab,Scala,C#,Java,C++,C,Bash,Tensorflow,pyspark,YOLO,MS Word,Ms Excel,Ms Access,Ms PowerPoint,Spreadsheets,Google_Analytics,Microsoft Power BI,Tableau,D3,Qlik,KNIME,Spotfire,Linux/Unix,OLE/DB,SQL,NoSQL,RDBMS,Oracle,MySQL,MongoDB,MPP_Platforms,SPL,Alteryx,Spark,Kafka,Hadoop,Pig,Hive,Map/Reduce,Impala,Storm,Google_Cloud,AWS,cloud_storage,S3,Redshift,DigitalOcean,Teradata,Solr,Elasticsearch,Presentation_Skills,Communication,Problem_Solving,Team_Handling,agile execution,Data_marketing,SEO,graphics_and_design_skills,Content_Management,Economic,Finance_Knowledge,Investment_Knowledge,Debtor_reconcilation,Payroll_management,Flash_Actionscript,web_design_and_development_tools,Wordpress,PHP,Javascript,Web_Analytic_tools
1,Abhishanya,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000017d0aaebfcd9fa69a01a5a2468e&src=GD_JOB_VIEW&t=SR&vt=w&uido=526FD492E6A5741602A48AD394E83CE4&cs=1_b340cb9a&cb=1636561765052&jobListingId=1007427574937&jrtk=3-0-1fk5atfvgu3d0801-1fk5atg02u3n1800-d18391ceefc14457-,Unique,statistics jobs,11/10/2021,11/10/2021,Information Technology,Data Analyst,Disney Streaming,"General knowledge of optimization algorithms (e.g. MAB, randomized search, Thompson sampling), supervised and unsupervised machine learning techniques.",2,New York,USA,"A bachelor’s or master’s degree in Computer Science, MIS, Statistics, Economics, Mathematics, etc",Annual,USD,52000 - 106000,0,NA,NA,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Abhishanya,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000017d0f4f4611aeabfa9d4c359a7f&src=GD_JOB_VIEW&t=SR&vt=w&uido=526FD492E6A5741602A48AD394E83CE4&cs=1_234a1b64&cb=1636639394353&jobListingId=1007424065387&jrtk=3-0-1fk7kuhq3u4l1801-1fk7kuhqju3tp801-ee3ef7c424240257-,Unique,statistics jobs,11/11/2021,11/11/2021,Education,Data Analyst,University of Pennsylvani,"Basic knowledge of regulatory requirements and how to appropriately fulfill them, including Institutional Review Board submissions; Ability to perform descriptive and basic inferential statistics, including regression analyses, and sample size calculations.",3,Philadelphia,Pennsylvania,"Bachelor's Degree or higher educational attainment in biostatistics, biomedical informatics, public health, or related field that ensures a fundamental understanding of research design considerations. Master's Degree preferred.",Annual,USD,"59,703 - 168,837",0,NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Abhishanya,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000017d0f68dad780ab8e390be1eea2&src=GD_JOB_VIEW&t=SR&vt=w&uido=526FD492E6A5741602A48AD394E83CE4&cs=1_494a7dcb&cb=1636641070197&jobListingId=1007423759483&jrtk=3-0-1fk7mhmohu2fm801-1fk7mhmp1u2vc800-42007c14e9ebb30d-,Unique,Data scientist job,11/11/2021,11/9/2021,Other,Data Scientist,M I Brunner Inc,NA,2,Atlanta,USA,"Bachelor’s or Master’s degree in program with heavy emphasis on quantitative analysis or programming, such as analytics or data science, economics, physics, mathematics or statistics, computer science, engineering, or quant emphasis in social science (psychology, sociology, policy, etc.)",Annual,USD,96354,0,NA,NA,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Abhishanya,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000017d0f856f4fb91ed388b1eb9135&src=GD_JOB_VIEW&t=SR&vt=w&uido=526FD492E6A5741602A48AD394E83CE4&cs=1_7f44abd2&cb=1636642943200&jobListingId=1007419923652&jrtk=3-0-1fk7oaru3u38m801-1fk7oarvuu3m9800-8c22b2220a640545-,Unique,Data scientist job,11/11/2021,10/13/2021,Other,Data Scientist,McKinsey & Company,NA,3,Atlanta,USA,"Background in statistics, mathematics, computer science or a related discipline",Annual,USD,75000 - 136000,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Abhishanya,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000017d0f856f4fb91ed388b1eb9135&src=GD_JOB_VIEW&t=SR&vt=w&uido=526FD492E6A5741602A48AD394E83CE4&cs=1_31ff5bcb&cb=1636642943204&jobListingId=1007376176851&jrtk=3-0-1fk7oaru3u38m801-1fk7oarvuu3m9800-7e27523da8262664-,Unique,Statistics job,11/11/2021,10/14/2021,Information Technology,Data Analyst,Square,NA,2,Atlanta,USA,Bachelor's degree,Annual,USD,58000 - 99000,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Abhishanya,"https://www.glassdoor.com/Job/atlanta-ga-data-scientist-jobs-SRCH_IL.0,10_IC1155583_KO11,25.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1007423759483&ao=1136043&s=345&guid=0000017d0fa3a18eb672799f6712daac&pos=101&t=SR-JOBS-HR&vt=w&uido=526FD492E6A5741602A48AD394E83CE4&cs=1_67fd237b&cb=1636644922178&jobListingId=1007423759483&jrtk=3-0-1fk7q78fh3oho001-1fk7q78g73oes000-42007c14e9ebb30d-",Unique,Data Scientist job,11/11/2021,10/14/2020,Health,Data Scientist,Teladoc Health,NA,2,Atlanta,USA,"A Master's degree in Epidemiology, Statistics, Computer Science or related field preferred",Annual,USD,69000 - 119000,0,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Abhishanya,https://careers.keells.com/job/Colombo-Data-Engineer-Octave-Data-and-Advanced-Analytics-Centre-of-Excellence/540434310/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Unique,Data engineer job,11/11/2021,11/8/2021,Other,Data Engineer,John Keels holds,NA,2,Colombo,Sri Lanka,"Bachelor's degree in Computer Science, Engineering, Mathematics or Statistics.",NA,NA,NA,0,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Abhishanya,https://lk.linkedin.com/jobs/view/data-engineer-at-kognitiv-corporation-2786121766?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Unique,Data engineer job,11/11/2021,11/9/2021,Other,Data Engineer,Kognitiv Corporation,NA,3,Colombo,Sri Lanka,A Bachelor’s degree in Computer Science or similar discipline.,NA,NA,NA,0,NA,NA,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Abhishanya,"https://www.glassdoor.com/Job/atlanta-ga-data-engineer-jobs-SRCH_IL.0,10_IC1155583_KO11,24.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1007382814407&ao=1136043&s=345&guid=0000017d0ff43b0ba2b67fe16dbbf2b8&pos=101&t=SR-JOBS-HR&vt=w&uido=526FD492E6A5741602A48AD394E83CE4&ea=1&cs=1_6be3c099&cb=1636650204154&jobListingId=1007382814407&jrtk=3-0-1fk7v8eq026a5001-1fk7v8er1u3m9800-b227526ba265f9a5-",Unique,Data engineer job,11/11/2021,10/20/2021,Information Technology,Data Engineer,CA-One Tech Cloud Inc,NA,7,Atlanta,USA,"Bachelor’s Degree or foreign equivalent, will consider work experience in lieu of a degree",Hour,USD,55 - 58,0,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Abhishanya,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000017d0ff46acb907b2321c7dc7cda&src=GD_JOB_VIEW&t=SR&vt=w&uido=526FD492E6A5741602A48AD394E83CE4&cs=1_d386309c&cb=1636650216634&jobListingId=1007385738890&jrtk=3-0-1fk7v8qtdu4qn801-1fk7v8qtr3o55000-f1f3d3161f4cee51-,Unique,Data engineer job,11/11/2021,10/21/2021,Finance,Data Engineer,Amex,NA,4,Atlanta,USA,NA,Annual,USD,72000 - 130000,0,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
