ID,Consultant,URL,Search_Term,DateRetrieved,DatePublished,Job_Category,Job_title,Company,City,Location,Payment Frequency,Salary,English Needed,BSc_needed,MSc_needed,PhD_needed,AI,Natural_Language_Processing(NLP),Data_Pipelines,Machine_Learning,Deep Learning,Computer_vision,Data_visualization,Data_warehouse,BigData,Data_management,Data_mining,Data_science,Bayesian,Optimization,Numerical_Analysis,IOT,R,SAS,SPSS,Python,MAtlab,Scala,C#,Java,C++,C,Bash,Tensorflow,pyspark,YOLO,MS Word,Ms Excel,Ms Access,Ms PowerPoint,Spreadsheets,Google_Analytics,Microsoft Power BI,Tableau,D3,Qlik,KNIME,Spotfire,Linux/Unix,OLE/DB,SQL,NoSQL,RDBMS,Oracle,MySQL,MongoDB,MPP_Platforms,SPL,Alteryx,Spark,Kafka,Hadoop,Pig,Hive,Map/Reduce,Impala,Storm,Google_Cloud,AWS,cloud_storage,S3,Redshift,DigitalOcean,Teradata,Solr,Elasticsearch,Presentation_Skills,Communication,Problem_Solving,Team_Handling,agile execution,Data_marketing,SEO,graphics_and_design_skills,Content_Management,Economic,Finance_Knowledge,Investment_Knowledge,Debtor_reconcilation,Payroll_management,web_design_and_development_tools,PHP,Javascript,Web_Analytic_tools,Knowledge_in,year,Educational_qualifications,Experience_Category
1,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=24&ac=0000000039&jc=0001040234&ec=0000000039&pg=applicant/vacancybyfunctionalarea.jsp,Data Engineer,06-01-23,05-01-23,Data Science,Senior Engineer-Data warehousing and BI,DFCC Bank,Colombo,Sri Lanka,NA,NA,0,"IT, Computing, Data Science",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,2022,NA,More than 2 and less than 5 years
2,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=20&ac=DEFZZZ&jc=0001040314&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,Data Engineer,06-01-23,05-01-23,Database Systems,Database Engineer,NA,NA,Sri Lanka,NA,NA,1,Bachelor's,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Two or less years
3,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=61&ac=DEFZZZ&jc=0001039583&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,Data Engineer,06-01-23,04-01-23,Database Systems,Database Administrator,Abans,NA,Sri Lanka,NA,NA,0,"Computer Science, Information Systems",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,More than 2 and less than 5 years
4,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=70&ac=0000000486&jc=0001039237&ec=0000000654&pg=applicant/vacancybyfunctionalarea.jsp,Data Engineer,06-01-23,03-01-23,Data Science,Consulting D & A Azure Engineer,George Bernard PVT Limited,NA,Sri Lanka,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,More than 2 and less than 5 years
5,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=107&ac=DEFZZZ&jc=0001037249&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,Data Engineer,06-01-23,27-12-22,Data Science,Data Scientist,VeracityAI,NA,Sri Lanka,NA,NA,0,"Computer Science, Statistics, Mathematics",0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Two or less years
6,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3278984213&f_TPR=a1672908711-&keywords=data%20science&savedSearchId=1215891153&searchAlertRefId=510900f5-6cfb-4698-9347-017de171b339,Data Engineer,06-01-23,06-01-23,Data Science,Data Scientist,LSEG,Colombo,Sri Lanka,NA,NA,0,"Computer Science, IT",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Unknown or Not needed
7,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3373142213&f_TPR=a1672908711-&keywords=data%20science&savedSearchId=1215891153&searchAlertRefId=510900f5-6cfb-4698-9347-017de171b339,Data Engineer,06-01-23,06-01-23,Data Science,D & A Azure Manager,Ernst & Young,Colombo,Sri Lanka,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,More than 5 and less than 10 years
8,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3421377661&f_TPR=a1672908711-&keywords=data%20science&savedSearchId=1215891153&searchAlertRefId=510900f5-6cfb-4698-9347-017de171b339,Data Engineer,06-01-23,05-01-23,Data Science,Data Analyst,Novelship,NA,Singapore,NA,NA,1,"Computer Science, Statistics, Business Analytics, Data Science",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Unknown or Not needed
9,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3363804207&f_TPR=a1672858223-&keywords=mathematics&savedSearchId=1351249523&searchAlertRefId=7d20661a-65a0-4feb-ac13-698b571c59d3,Data Engineer,06-01-23,05-01-23,Data Science,Data Analyst,ADA,Colombo,Sri Lanka,NA,NA,0,"Applied Math, Statistics, Economics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,More than 2 and less than 5 years
10,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3420722318&f_TPR=a1672851334-&keywords=artificial%20intelligence&savedSearchId=1217527563&searchAlertRefId=b90865be-4304-4d0d-9cb8-47baac6742b8,Data Engineer,06-01-23,05-01-23,Data Science,Machine Learning Specialist,Bestkarera Recruitment,Colombo,Sri Lanka,NA,NA,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Unknown or Not needed
